iter	Passed	Remaining
0	0	779
1	1	728
2	2	696
3	2	688
4	3	694
5	4	680
6	4	673
7	5	662
8	5	654
9	6	652
10	7	645
11	7	639
12	8	634
13	9	638
14	9	641
15	10	638
16	11	640
17	11	640
18	12	638
19	13	637
20	13	636
21	14	634
22	14	635
23	15	634
24	16	634
25	16	636
26	17	633
27	18	630
28	18	628
29	19	626
30	20	625
31	20	629
32	21	630
33	22	628
34	22	627
35	23	626
36	24	625
37	24	625
38	25	623
39	25	623
40	26	624
41	27	622
42	28	624
43	28	623
44	29	622
45	30	623
46	30	621
47	31	620
48	31	618
49	32	616
50	33	615
51	33	614
52	34	615
53	35	613
54	35	614
55	36	613
56	36	611
57	37	610
58	38	608
59	38	606
60	39	605
61	39	604
62	40	604
63	41	603
64	41	601
65	42	600
66	43	599
67	43	598
68	44	597
69	44	596
70	45	597
71	46	597
72	47	599
73	47	598
74	48	598
75	49	598
76	49	596
77	50	596
78	51	594
79	51	593
80	52	592
81	52	592
82	53	589
83	53	588
84	54	588
85	55	588
86	55	587
87	56	587
88	57	586
89	57	585
90	58	584
91	59	583
92	59	582
93	60	580
94	60	580
95	61	579
96	62	578
97	62	577
98	63	576
99	63	575
100	64	573
101	65	572
102	65	571
103	66	571
104	66	570
105	67	569
106	68	567
107	68	568
108	69	567
109	70	566
110	70	565
111	71	564
112	71	563
113	72	564
114	73	563
115	73	562
116	74	560
117	74	559
118	75	558
119	76	557
120	76	556
121	77	555
122	77	554
123	78	554
124	79	553
125	79	553
126	80	551
127	80	551
128	81	550
129	82	549
130	82	549
131	83	548
132	84	547
133	84	548
134	85	547
135	86	547
136	86	546
137	87	545
138	87	544
139	88	543
140	89	543
141	89	541
142	90	540
143	90	539
144	91	539
145	92	538
146	92	538
147	93	537
148	93	536
149	94	536
150	95	535
151	95	534
152	96	533
153	97	533
154	97	532
155	98	532
156	99	531
157	99	530
158	100	530
159	100	529
160	101	527
161	101	527
162	102	526
163	103	526
164	103	526
165	104	525
166	105	524
167	105	524
168	106	523
169	106	522
170	107	521
171	108	520
172	108	519
173	109	518
174	110	519
175	110	518
176	111	520
177	112	519
178	113	518
179	113	517
180	114	517
181	114	516
182	115	515
183	116	514
184	116	513
185	117	512
186	117	512
187	118	511
188	119	510
189	119	509
190	120	509
191	120	508
192	121	507
193	122	507
194	122	506
195	123	505
196	123	504
197	124	503
198	124	502
199	125	502
200	126	501
201	126	501
202	127	500
203	128	500
204	129	500
205	129	500
206	130	500
207	131	499
208	131	498
209	132	497
210	132	496
211	133	496
212	134	495
213	134	495
214	135	494
215	136	494
216	136	493
217	137	492
218	137	492
219	138	491
220	139	490
221	139	489
222	140	489
223	141	488
224	141	487
225	142	487
226	142	486
227	143	485
228	143	484
229	144	484
230	145	483
231	145	482
232	146	481
233	147	481
234	147	480
235	148	480
236	148	479
237	149	478
238	149	477
239	150	476
240	151	475
241	151	475
242	152	474
243	153	474
244	153	473
245	154	473
246	154	472
247	155	471
248	155	470
249	156	469
250	157	468
251	157	468
252	158	467
253	158	466
254	159	466
255	160	465
256	160	464
257	161	463
258	161	463
259	162	462
260	162	461
261	163	460
262	164	459
263	164	458
264	165	458
265	165	457
266	166	456
267	167	456
268	167	455
269	168	454
270	168	454
271	169	453
272	170	452
273	170	452
274	171	451
275	171	450
276	172	450
277	173	449
278	173	448
279	174	448
280	174	447
281	175	446
282	176	446
283	176	445
284	177	444
285	177	444
286	178	443
287	179	442
288	179	442
289	180	441
290	180	440
291	181	439
292	182	439
293	182	438
294	183	437
295	183	437
296	184	436
297	185	435
298	185	435
299	186	434
300	186	433
301	187	432
302	187	431
303	188	431
304	188	430
305	189	429
306	190	429
307	190	428
308	191	428
309	191	427
310	192	426
311	193	425
312	193	424
313	194	424
314	194	423
315	195	422
316	195	422
317	196	422
318	197	421
319	198	420
320	198	420
321	199	419
322	199	418
323	200	418
324	201	417
325	202	417
326	202	417
327	203	416
328	204	416
329	204	415
330	205	414
331	205	414
332	206	413
333	207	413
334	208	413
335	208	412
336	209	411
337	209	411
338	210	410
339	211	410
340	211	409
341	212	409
342	213	408
343	214	408
344	214	407
345	215	407
346	216	406
347	216	406
348	217	405
349	218	405
350	218	404
351	219	403
352	220	403
353	220	402
