iter	Passed	Remaining
0	141	140882
1	142	70906
2	143	47528
3	144	35856
4	144	28847
5	145	24173
6	146	20825
7	147	18316
8	148	16364
9	149	14802
10	150	13528
11	151	12466
12	152	11563
13	153	10793
14	154	10128
15	155	9544
16	156	9026
17	157	8572
18	158	8162
19	159	7791
20	159	7456
21	160	7150
22	161	6870
23	162	6612
24	163	6377
25	164	6159
26	165	5955
27	166	5767
28	166	5590
29	167	5427
30	168	5274
31	169	5130
32	170	4995
33	171	4869
34	172	4749
35	173	4636
36	174	4529
37	174	4428
38	175	4332
39	176	4240
40	177	4152
41	178	4072
42	179	3993
43	180	3917
44	181	3846
45	182	3777
46	183	3711
47	183	3647
48	184	3587
49	185	3529
50	186	3472
51	187	3419
52	188	3367
53	189	3318
54	190	3269
55	191	3222
56	192	3177
57	192	3133
58	193	3090
59	194	3049
60	195	3010
61	196	2971
62	197	2935
63	198	2898
64	199	2864
65	200	2830
66	200	2797
67	201	2761
68	202	2730
69	203	2699
70	204	2669
71	204	2640
72	205	2612
73	206	2585
74	207	2558
75	208	2532
76	209	2507
77	210	2484
78	211	2464
79	212	2441
80	213	2421
81	214	2399
82	215	2378
83	216	2359
84	217	2338
85	218	2322
86	219	2299
87	220	2280
88	221	2263
89	222	2245
90	223	2227
91	223	2210
92	224	2192
93	225	2175
94	226	2160
95	227	2144
96	228	2128
97	229	2112
98	230	2097
99	231	2082
100	232	2068
101	232	2050
102	233	2035
103	234	2021
104	235	2008
105	236	1994
106	237	1980
107	238	1966
108	239	1958
109	240	1946
110	241	1935
111	242	1923
112	243	1911
113	244	1899
114	245	1888
115	246	1876
116	247	1865
117	248	1856
118	249	1844
119	250	1834
120	251	1823
121	251	1812
122	252	1800
123	253	1790
124	254	1779
125	255	1769
126	256	1760
127	256	1749
128	257	1739
129	258	1729
130	259	1720
131	260	1711
132	261	1702
133	262	1693
134	262	1684
135	263	1675
136	264	1667
137	265	1657
138	266	1650
139	267	1642
140	268	1634
141	269	1626
142	270	1618
143	271	1611
144	271	1603
145	272	1595
146	273	1587
147	274	1580
148	275	1572
149	276	1565
150	277	1557
151	277	1550
152	278	1543
153	279	1536
154	280	1529
155	281	1522
156	282	1515
157	283	1509
158	284	1502
159	284	1495
160	285	1488
161	286	1482
162	287	1475
163	288	1469
164	289	1463
165	290	1457
166	290	1451
167	291	1445
168	292	1439
169	293	1433
170	294	1427
171	295	1422
172	296	1416
173	297	1411
174	298	1405
175	298	1399
176	299	1393
177	300	1388
178	301	1382
179	302	1377
180	302	1370
181	303	1364
182	304	1359
183	305	1354
184	306	1349
185	307	1344
186	308	1339
187	309	1334
188	309	1330
189	310	1325
190	311	1320
191	312	1315
192	313	1311
193	314	1306
194	315	1301
195	316	1297
196	317	1292
197	318	1288
198	319	1284
199	320	1280
200	321	1277
201	322	1274
202	323	1270
203	324	1267
204	325	1264
205	326	1259
206	327	1255
207	328	1251
208	329	1247
209	330	1243
210	331	1239
211	332	1234
212	333	1231
213	334	1226
214	335	1223
215	335	1219
216	336	1215
217	337	1211
218	338	1207
219	339	1202
220	340	1198
221	341	1195
222	341	1191
223	342	1187
224	343	1183
225	344	1179
226	345	1175
227	346	1171
228	346	1168
229	347	1164
230	348	1160
231	349	1157
232	350	1154
233	351	1150
234	352	1147
235	353	1143
236	354	1139
237	354	1136
238	355	1132
239	356	1129
240	357	1125
241	358	1122
242	359	1119
243	360	1115
244	360	1112
245	361	1109
246	362	1105
247	363	1102
248	364	1099
249	365	1096
250	366	1093
251	367	1090
252	368	1086
253	368	1083
254	369	1080
255	370	1077
256	371	1074
257	372	1070
258	373	1067
259	374	1064
260	374	1061
261	375	1058
262	376	1055
263	377	1052
264	378	1049
265	379	1046
266	380	1043
267	380	1040
268	381	1037
269	382	1034
270	383	1031
271	384	1028
272	385	1025
273	386	1023
274	386	1020
275	387	1017
276	388	1014
277	389	1011
278	390	1009
279	391	1006
280	392	1003
281	393	1001
282	394	998
283	394	995
284	395	992
285	396	990
286	397	987
287	398	984
288	399	982
289	400	979
290	401	977
291	401	974
292	402	971
293	403	969
294	404	966
295	405	964
296	406	961
297	407	959
298	408	956
299	408	954
300	409	951
301	410	949
302	411	946
303	412	944
304	413	941
305	414	939
306	415	936
307	415	934
308	416	932
309	417	929
310	418	927
311	419	924
312	420	922
313	421	920
314	422	917
315	422	915
316	423	913
317	424	910
318	425	908
319	426	906
320	427	903
321	428	901
322	428	899
323	429	896
324	430	894
325	431	892
326	432	890
327	433	888
328	434	886
329	435	883
330	436	881
331	437	879
332	437	877
333	438	875
334	439	872
335	440	870
336	441	868
337	442	866
338	443	864
339	444	861
340	444	859
341	445	857
342	446	855
343	447	853
344	448	851
345	449	849
346	450	847
347	451	845
348	452	843
349	452	841
350	453	839
351	454	836
352	455	834
353	456	832
354	457	830
355	458	828
356	458	826
357	459	824
358	460	822
359	461	820
360	462	818
361	463	816
362	463	814
363	464	811
364	465	810
365	466	807
366	467	806
367	468	804
368	469	802
369	469	800
370	470	798
371	471	796
372	472	794
373	473	792
374	474	790
375	474	788
376	475	786
377	476	784
378	477	782
379	478	780
380	479	778
381	480	776
382	480	774
383	481	772
384	482	770
385	483	769
386	484	767
387	485	765
388	486	763
389	487	762
390	488	760
391	488	758
392	489	756
393	490	754
394	491	752
395	492	751
396	493	749
397	494	747
398	495	745
399	496	744
400	496	742
401	497	740
402	498	738
403	499	736
404	500	735
405	501	733
406	501	731
407	502	729
408	503	727
409	504	726
410	505	724
411	506	722
412	507	720
413	508	719
414	508	717
415	509	715
416	510	713
417	511	712
418	512	710
419	513	708
420	513	706
421	514	705
422	515	703
423	516	701
424	517	700
425	518	698
426	519	696
427	520	695
428	521	694
429	522	692
430	523	690
431	524	689
432	525	687
433	525	685
434	526	684
435	527	682
436	528	680
437	529	679
438	530	677
439	531	675
440	531	674
441	532	672
442	533	670
443	534	669
444	535	667
445	536	666
446	537	664
447	537	662
448	538	661
449	539	659
450	540	657
451	541	656
452	542	654
453	543	653
454	543	651
455	544	649
456	545	648
457	546	646
458	547	645
459	548	643
460	549	642
461	550	640
462	550	638
463	551	637
464	552	635
465	553	634
466	554	632
467	555	631
468	556	629
469	557	628
470	558	626
471	558	625
472	559	623
473	560	622
474	561	620
475	562	619
476	563	617
477	564	616
478	565	614
479	565	612
480	566	611
481	567	609
482	568	608
483	569	606
484	570	605
485	570	603
486	571	602
487	572	600
488	573	599
489	574	597
490	575	596
491	576	594
492	576	593
493	577	592
494	578	590
495	579	589
496	580	587
497	581	586
498	582	584
499	583	583
500	583	581
501	584	580
502	585	578
503	586	577
504	587	575
505	588	574
506	589	572
507	590	571
508	590	570
509	591	568
510	592	567
511	593	566
512	594	564
513	595	563
514	596	561
515	597	560
516	598	559
517	599	557
518	600	556
519	600	554
520	601	553
521	602	551
522	603	550
523	604	549
524	605	547
525	606	546
526	607	544
527	607	543
528	608	542
529	609	540
530	610	539
531	611	537
532	612	536
533	613	534
534	613	533
535	614	532
536	615	530
537	616	529
538	617	528
539	618	526
540	619	525
541	620	523
542	620	522
543	621	521
544	622	519
545	623	518
546	624	516
547	625	515
548	626	514
549	627	513
550	627	511
551	628	510
552	629	508
553	630	507
554	631	506
555	632	504
556	633	503
557	634	502
558	634	500
559	635	499
560	636	498
561	637	496
562	638	495
563	639	494
564	639	492
565	640	491
566	641	489
567	642	488
568	643	487
569	644	486
570	645	484
571	646	483
572	646	482
573	647	480
574	648	479
575	649	478
576	650	476
577	651	475
578	652	474
579	653	472
580	654	471
581	655	470
582	656	469
583	657	468
584	658	466
585	658	465
586	659	464
587	660	462
588	661	461
589	662	460
590	663	459
591	664	457
592	665	456
593	665	455
594	666	453
595	667	452
596	668	451
597	669	449
598	670	448
599	671	447
600	672	446
601	672	444
602	673	443
603	674	442
604	675	441
605	676	439
606	677	438
607	678	437
608	679	436
609	680	434
610	681	433
611	682	432
612	683	431
613	684	430
614	685	428
615	686	427
616	687	426
617	688	425
618	689	424
619	690	423
620	691	422
621	692	420
622	693	419
623	694	418
624	695	417
625	696	415
626	696	414
627	697	413
628	698	412
629	699	410
630	700	409
631	701	408
632	702	407
633	702	405
634	703	404
635	704	403
636	705	402
637	706	401
638	707	399
639	708	398
640	709	397
641	710	396
642	711	395
643	712	393
644	713	392
645	714	391
646	714	390
647	715	388
648	716	387
649	718	386
650	718	385
651	719	384
652	720	383
653	721	381
654	722	380
655	723	379
656	724	378
657	725	377
658	726	375
659	727	374
660	728	373
661	729	372
662	729	371
663	730	369
664	731	368
665	732	367
666	733	366
667	734	365
668	735	363
669	736	362
670	737	361
671	738	360
672	739	359
673	740	358
674	741	356
675	742	355
676	743	354
677	744	353
678	745	352
679	745	351
680	746	349
681	747	348
682	748	347
683	749	346
684	750	345
685	751	343
686	752	342
687	753	341
688	754	340
689	754	339
690	755	337
691	756	336
692	757	335
693	758	334
694	759	333
695	760	332
696	761	330
697	761	329
698	762	328
699	763	327
700	764	326
701	765	325
702	766	323
703	767	322
704	768	321
705	769	320
706	769	319
707	770	317
708	771	316
709	772	315
710	773	314
711	774	313
712	775	312
713	776	310
714	776	309
715	777	308
716	778	307
717	779	306
718	780	305
719	781	303
720	782	302
721	782	301
722	783	300
723	784	299
724	785	297
725	786	296
726	787	295
727	788	294
728	789	293
729	789	292
730	790	290
731	791	289
732	792	288
733	793	287
734	794	286
735	795	285
736	796	284
737	797	283
738	798	281
739	798	280
740	799	279
741	800	278
742	801	277
743	802	276
744	803	275
745	804	273
746	805	272
747	806	271
748	807	270
749	807	269
750	808	268
751	809	266
752	810	265
753	811	264
754	812	263
755	813	262
